MarketRealist,,2019-02-21 13:07:00,32.74,Expedia Stock Highlights for Investors EXPE TRIP CTRP XWEB marketrealistcom201902e
EstimizeAlerts,,2019-02-21 12:24:00,32.537,CTRP analysts on Estimize are expecting 11500 YoY EPS growth for Q4 down from 244 in Q3 Reporting 0304 AMCestimizecomintroctrpcha
EstimizeAlerts,,2019-02-21 09:54:00,33.415,CTRPs Gross Margins is a key growth metric for their next report on 0521 AMC Will they beat last quarters Gross Marginsestimizecomintroctrpcha
