THAT_BOY_DAYDAY,True,2019-02-21 14:00:00,1.92,APTO I am in at 192 for reversal time for profits
bioshock,,2019-02-21 12:40:00,1.92,APTO
bioshock,,2019-02-21 12:35:00,1.924,APTO the last time we had a tri doji it went on quite a bullish run Bit different this time around with longer maa above but notfeful
Secret_Stocks,,2019-02-21 10:59:00,1.88,APTO institutional owners upnow 8
Secret_Stocks,,2019-02-21 10:47:00,1.864,APTO for all of you this shit is not moving any where but lower Until Ms Helen begin to pump again So for now watch your vaporize
