letsgocleve,,2019-05-20 15:10:00,92.476,EA to the moon
CEM97,,2019-05-20 14:40:00,92.686,EA got to love a stock that sells off when the market is rising and then sells off when the market is falling
Goofus121,True,2019-05-20 14:40:00,92.686,EA BUY MY MAY 24 125 CALLS PEASANTS
baylor3217,,2019-05-20 14:37:00,92.74,EA this stock is
Backtested,,2019-05-20 14:36:00,92.81,023603 PM Long 1050 shares of EA at 9282 for a short term trade
CEM97,True,2019-05-20 14:17:00,92.84,EA 95 tomorrow goodnight
fishinNbanjo,,2019-05-20 14:12:00,92.785,EA this thing is honestly rediculous
CEM97,True,2019-05-20 14:06:00,92.791,EA once the next large buys come in then everyone will hop in theres just not enough volume
afernandez321,False,2019-05-20 13:53:00,92.81,EA tumbling
CEM97,,2019-05-20 13:47:00,93.108,EA this wont even reach ya avg volume not sure what the heck is going on
CEM97,True,2019-05-20 13:08:00,93.46,EA if this aint the bottom I quit
CEM97,True,2019-05-20 12:54:00,94.007,EA I meant here
CEM97,True,2019-05-20 12:52:00,94.16,EA buy it all here
AlwaysBenny,True,2019-05-20 12:39:00,94.561,SNE ATVI EA have bare minimum presence at E3 TTWOs Rockstar Studio skips the event so u know GTA6 wont be announced this year
CEM97,,2019-05-20 11:37:00,94.45,EA retry laughable stop loss raid Good buying was coming on each 10 min candle then boom sell off all gains in 5 mins
EstimizeAlerts,,2019-05-20 10:48:00,94.145,EA analysts on Estimize are expecting 2903 YoY EPS growth for Q1 up from 234 in Q4 Reporting 0730 AMChttpwwwestimizecomintroeacharthistoricalmetricnameepsutmcontentEAutmmediumepsgrowthutmsourcestocktwits
EstimizeAlerts,,2019-05-20 10:48:00,94.145,EA estimates distribution heres what 3 Estimize analysts are expecting EA to report for Q1 Digital Net Sales on 0730 AMChttpwwwestimizecomintroeachartscatterplotOrHistogrammetricnamedigitalnetsalesutmcontentEAutmmediummetricdistributionutmsourcestocktwits
CEM97,True,2019-05-20 10:42:00,94.099,EA got out at 9817 on Friday now back in at 9401 thank you
afernandez321,,2019-05-20 10:23:00,94.186,EA bounced off the 50 now it went through the 10 day Seems like it is within a range Why would you want to hold on to something that goes sideways for months and years
etl54321,,2019-05-20 09:56:00,94.437,SPY Looks like it chose its position unless this is a bull trap long 50 shares Closed EA and SNAP a day late
