jmorbit,,2019-05-20 15:24:00,4.86,INSG so with the huwaii news today we are still negative just means its baking
msumak,True,2019-05-20 15:15:00,4.852,INSG new inseego 5g mobile router hit the FCC site meaning it should launch soon with VZ and others fccidioPKRISGM1000
msumak,True,2019-05-20 10:54:00,4.813,INSG ERIC INFN NOK CIEN youtubecomwatchvt7fOkfI
