ChartTrader33,False,2019-05-20 15:50:00,100.26,DLTR wait for 80
ramtek57,,2019-05-20 15:38:00,100.231,DLTR with the tariffs are they going to have to change their name to the 2 dollar tree
EstimizeAlerts,,2019-05-20 15:19:00,99.978,DLTRs Enterprise Same Store Sales is a key growth metric for their next report on 0530 BMO Will they beat last quarters 24 Enterestimizecomintrodltrcha
EstimizeAlerts,,2019-05-20 13:42:00,100.341,DLTR reported 24 Enterprise Same Store Sales last quarter Next report is on 0530 BMO Jury is still out on expectations Whats yoestimizecomintrodltrcha
EstimizeAlerts,,2019-05-20 12:03:00,99.858,DLTRs Enterprise Same Store Sales is a key growth metric for their next report on 0530 BMO Will they beat last quarters 24 Enterestimizecomintrodltrcha
EstimizeAlerts,,2019-05-20 10:24:00,99.945,DLTR estimates distribution heres what 17 Estimize analysts are expecting DLTR to report for Q1 Reporting 0530 BMOestimizecomintrodltrcha
EstimizeAlerts,,2019-05-20 10:24:00,99.945,DLTR reported 24 Enterprise Same Store Sales last quarter Next report is on 0530 BMO Jury is still out on expectations Whats yoestimizecomintrodltrcha
