SmallShare,,2019-05-20 15:37:00,26.965,URBN aftermarket earnings tomorrow eps estimates 026 youtubecomwatchvlsAsHhM
EstimizeAlerts,,2019-05-20 15:16:00,26.962,URBN estimates distribution heres what 3 Estimize analysts are expecting URBN to report for Q1 Comparable Retail Sales tomorrow 05httpwwwestimizecomintrourbnchartscatterplotOrHistogrammetricnamecomparableretailsegmentnetsalesutmcontentURBNutmmediummetricdistributionutmsourcestocktwits
EstimizeAlerts,,2019-05-20 13:39:00,26.95,Heres what 3 Estimize analysts believe URBN will report for Q1 Comparable Retail Sales tomorrow 0521 AMCestimizecomintrourbncha
EstimizeAlerts,,2019-05-20 12:00:00,26.817,URBN analysts on Estimize expect 7213 YoY growth in Comparable Retail Sales for Q1 down from 42258 in previous year Reporting Testimizecomintrourbncha
EstimizeAlerts,,2019-05-20 10:21:00,26.7,URBN estimates distribution heres what 10 Estimize analysts are expecting URBN to report for Q1 Reporting Tomorrow 0521 AMCestimizecomintrourbncha
EstimizeAlerts,,2019-05-20 10:21:00,26.7,URBN estimates distribution heres what 3 Estimize analysts are expecting URBN to report for Q1 Comparable Retail Sales tomorrow 05estimizecomintrourbncha
