debjm,,2019-05-20 12:24:00,115.415,XLY yea but the datas looking backward so the recent retail sales negative 5 is a concern thoughts
ElliottwaveForecast,,2019-05-20 10:05:00,115.103,We presented the potential setups in NKE XLK XLY during the next 4H move as they did manage to make new all time highs before ending December cycle elliottwave
ElliottwaveForecast,,2019-05-20 10:03:00,115.021,We presented the most aggressive path in AAPL BABA as both stocks took 513 low leading the move lower and how it can be correlated with a slow move in XLK XLY elliottwave trading
