OutLawStocks,,2019-05-20 15:50:00,55.989,gumamela A few to look at before markets close AMD LABU TQQQ VUZI
TimingStockMarket,,2019-05-20 15:23:00,55.666,More explanations about todays TQQQ TNA buys and how we plan to trade them QQQQ IWMtimingstockmarketcomhome
Tradingbop,,2019-05-20 14:34:00,55.985,SPY TQQQ QLD QQQ Chart Review Likely Drop to Next Support SMA 200 Imo
Partridge,,2019-05-20 14:33:00,55.976,TQQQ FITTY
TimingStockMarket,,2019-05-20 13:54:00,56.158,Bought small number of shares TQQQ 56315 TNA 5946 Starting to scale in but slowly QQQ IWM
The_Duck,,2019-05-20 13:49:00,56.354,TQQQ its stuck Oh well Ill check back on it later
lombardo141,,2019-05-20 13:01:00,56.16,TQQQ SPY wtf is wrong with market today
TimingStockMarket,,2019-05-20 12:42:00,56.535,A combination of shortterm indicators suggest that QQQ IWM TQQQ TNA may gain enough support at todays lows to climb up More explanation here timingstockmarketcomhome
TimingStockMarket,,2019-05-20 11:04:00,56.35,If you are day trading pay close attention to Fridays closing price levels QQQ IWM TQQQ TNA are following the script we laid out last night
Tradingbop,True,2019-05-20 10:29:00,56.626,TQQQ RRRocking
Tradingbop,False,2019-05-20 10:25:00,56.545,TQQQ here
Partridge,,2019-05-20 10:21:00,56.041,TQQQ Fitty
brendon_chan,,2019-05-20 10:16:00,55.999,TQQQ add 5599
