TNDManiac1981,True,2019-05-20 12:23:00,94.795,TIF just bought beautiful and expensive cufflinkscan you finally move up here
EstimizeAlerts,,2019-05-20 10:24:00,94.81,Heres what 14 Estimize analysts believe TIF will report for Q1 2019 EPS Reporting 0604 BMOestimizecomintrotifchar
EstimizeAlerts,,2019-05-20 10:24:00,94.81,TIF reported 10 Comparable Store Sales last quarter Next report is on 0604 BMO Jury is still out on expectations Whats yoursestimizecomintrotifchar
