reducer,,2019-02-19 15:08:00,9.941,XERS to the moon
Mannix1961,True,2019-02-19 14:52:00,9.915,XERS Last day for Depositing Funds for the latest round
Mannix1961,True,2019-02-19 11:45:00,9.798,XERS We could see some potentially excellent near term catalyst re and other product filings etc keeping fingers crossed
