JohnathanA,True,2019-02-19 11:07:00,14.865,FLXN BUY BUY BUYseekingalphacomarticle42
giuseppe8469,True,2019-02-19 10:48:00,14.956,FLXN
giuseppe8469,,2019-02-19 10:48:00,14.956,FLXN today got promise good volume break 15 and close above we will be looking bullish boys for next leg up
