oisdnf,True,2019-02-19 15:34:00,11.624,LL this stock is pretty low priced compared to the potential it has
EstimizeAlerts,,2019-02-19 14:24:00,11.634,LL analysts on Estimize expect 5337 YoY growth in Comparable Store Sales for Q4 down from 6071 in previous year Reporting 0226estimizecomintrollchart
EstimizeAlerts,,2019-02-19 14:18:00,11.621,LLs Comparable Store Sales is a key growth metric for their next report on 0430 BMO Will they beat last quarters Comparable Storeestimizecomintrollchart
EstimizeAlerts,,2019-02-19 12:45:00,11.65,LL estimates distribution heres what 6 Estimize analysts are expecting LL to report for Q4 Comparable Store Sales on 0226 BMOestimizecomintrollchart
EstimizeAlerts,,2019-02-19 11:06:00,11.706,Heres what 6 Estimize analysts believe LL will report for Q4 Comparable Store Sales on 0226 BMOestimizecomintrollchart
EstimizeAlerts,,2019-02-19 11:03:00,11.72,Heres what 12 Estimize analysts believe LL will report for Q4 2018 revenue Reporting 0226 BMOestimizecomintrollchart
EstimizeAlerts,,2019-02-19 09:30:00,11.732,LL analysts on Estimize expect 5337 YoY growth in Comparable Store Sales for Q4 down from 6071 in previous year Reporting 0226estimizecomintrollchart
