texasjack,True,2019-02-19 13:10:00,5.38,CALA
CaptainFancyPants,True,2019-02-19 13:05:00,5.39,CALA Stock went from 542 to 535 on 1700 shares Whats my point This is all meaningless and manipulated Wake me up in 1 year
CaptainFancyPants,True,2019-02-19 10:38:00,5.346,CALA Trying to shake out the traders from conference hype Will drift higher later this week or next Very predictable action LT HOLD
FBP,,2019-02-19 10:31:00,5.37,CALA added small Cost avg low 6s Ready for 2H
CaptainFancyPants,True,2019-02-19 10:22:00,5.415,CALA 4 those of us whove followed CALA over the years todays stock action comes as no surprise HFs MMs in control They want retail OUT
