IToldYouSo,False,2019-02-19 15:48:00,32.565,WGO short it
ChartMill,,2019-02-19 13:19:00,32.398,HOLI CSIQ and WGO have an excellent Piotroski Fscore while undervalued chartmillcomstockscreener
sunshineave,,2019-02-19 11:27:00,31.99,WGO short ratio is 446 at 20190131 and short to float is 1139 sunshineavenuecomstock via sunshineave
ChartMill,,2019-02-19 11:14:00,32.001,Great fundamentals for MU WTW and WGO while not overvalued chartmillcomstockscreener
ChartMill,,2019-02-19 10:08:00,31.918,Quality undervalued stocks like MU DXC and WGO showing up in our Fundamental Piotroski Fscore screen chartmillcomstockscreener
