Ares77manoe,,2019-02-19 15:05:00,50.57,JNUG after TEUM TJX next making lot of va bene
EstimizeAlerts,,2019-02-19 14:39:00,50.435,TJXs Comparable Store Sales is a key growth metric for their next report on 0227 BMO Will they beat last quarters 70 Comparable estimizecomintrotjxchar
EstimizeAlerts,,2019-02-19 13:00:00,50.243,TJX reported 70 Comparable Store Sales last quarter Next report is on 0227 BMO Jury is still out on expectations Whats yoursestimizecomintrotjxchar
EstimizeAlerts,,2019-02-19 11:21:00,50.103,TJXs Comparable Store Sales is a key growth metric for their next report on 0227 BMO Will they beat last quarters 70 Comparable httpwwwestimizecomintrotjxcharthistoricalmetricnamecomparablestoresalesutmcontentTJXutmmediumkeymetricutmsourcestocktwits
EstimizeAlerts,,2019-02-19 09:42:00,50.153,TJX reported 70 Comparable Store Sales last quarter Next report is on 0227 BMO Jury is still out on expectations Whats yoursestimizecomintrotjxchar
