SmallShare,,2019-02-19 15:40:00,81.27,JACK aftermarket earnings tomorrow eps estimates 130 youtubecomwatchvkkOql6l
EstimizeAlerts,,2019-02-19 14:51:00,81.49,JACKs Same Store Sales is a key growth metric for their next report on 0515 AMC Will they beat last quarters Same Store Salesestimizecomintrojackcha
EstimizeAlerts,,2019-02-19 14:39:00,81.475,JACKs Same Store Sales is a key growth metric for their next report tomorrow 0220 AMC Will they beat last quarters 08 Same Storeestimizecomintrojackcha
EstimizeAlerts,,2019-02-19 13:18:00,80.66,JACK estimates distribution heres what 9 Estimize analysts are expecting JACK to report for Q2 Reporting 0515 AMCestimizecomintrojackcha
EstimizeAlerts,,2019-02-19 13:00:00,80.262,JACK reported 08 Same Store Sales last quarter Next report is tomorrow 0220 AMC Jury is still out on expectations Whats yoursestimizecomintrojackcha
MarketRealist,,2019-02-19 12:05:00,80.903,McDonalds Stock Up after Stephens Upgrade SBUX WEN JACK XLY MCD httpsmarketrealistcom201902mcdonaldsstockupafterstephensupgrade
EstimizeAlerts,,2019-02-19 11:21:00,80.92,JACKs Same Store Sales is a key growth metric for their next report tomorrow 0220 AMC Will they beat last quarters 08 Same Storeestimizecomintrojackcha
EstimizeAlerts,,2019-02-19 09:42:00,79.74,JACK reported 08 Same Store Sales last quarter Next report is tomorrow 0220 AMC Jury is still out on expectations Whats yoursestimizecomintrojackcha
MarketRealist,,2019-02-19 09:36:00,79.95,Why Investors Are Optimistic about Wendys Q4 Results JACK QSR MCD XLY WEN marketrealistcom201902w
