hiloSF,,2019-02-19 14:48:00,52.939,SHAK cute Using chart program Pro tradingviewcom
EstimizeAlerts,,2019-02-19 14:48:00,52.939,SHAK reported Same Shack Sales last quarter Next report is on 0502 AMC Jury is still out on expectations Whats yoursestimizecomintroshakcha
EstimizeAlerts,,2019-02-19 14:45:00,52.88,Heres what 6 Estimize analysts believe SHAK will report for Q4 Same Shack Sales on 0225 AMCestimizecomintroshakcha
EstimizeAlerts,,2019-02-19 13:12:00,52.65,SHAK estimates distribution heres what 6 Estimize analysts are expecting SHAK to report for Q1 Reporting 0502 AMCestimizecomintroshakcha
EstimizeAlerts,,2019-02-19 13:06:00,52.642,SHAK analysts on Estimize expect 625 YoY growth in Same Shack Sales for Q4 up from 500 in previous year Reporting 0225 AMCestimizecomintroshakcha
VolumeBot,,2019-02-19 12:52:00,52.74,According to data reported to FINRA short volume percent for SHAK clocked in at 4497 on 021519 volumebotcomsSHAK
PriceLevelTrading,,2019-02-19 11:45:00,52.897,SHAK inside day so far Need to break above 5317
EstimizeAlerts,,2019-02-19 11:27:00,52.814,SHAK estimates distribution heres what 6 Estimize analysts are expecting SHAK to report for Q4 Same Shack Sales on 0225 AMCestimizecomintroshakcha
EstimizeAlerts,,2019-02-19 09:48:00,52.782,Heres what 6 Estimize analysts believe SHAK will report for Q4 Same Shack Sales on 0225 AMChttpwwwestimizecomintroshakcharthistoricalmetricnamesameshacksalesutmcontentSHAKutmmediummetricupdateutmsourcestocktwits
