Goldsboro89,False,2019-02-19 14:50:00,45.002,TLND WOW THIS TRASH IS UP TODAY
BullnBearTrading,False,2019-02-19 14:29:00,44.86,TLND Same brokers w foolish PTs also had PTs for FIT and SNAP above 50 Those stocks are now single digits Zero reason for TLND above 30
BullnBearTrading,False,2019-02-19 14:27:00,44.878,TLND Weak Q418 w terrible guidance for Q119 indicates problems poor mngmt blaming their pivot We have all heard this story B4 Warning
BullnBearTrading,False,2019-02-19 14:18:00,44.92,TLND Now the trick for bagholders who bought above the gap is to sell their positions into declining volume Never good Breakdown coming
BullnBearTrading,False,2019-02-19 13:39:00,44.895,TLND Volume momentum are gone Will fade back into the gap as algos move on and buyers realize this can be bought much cheaper below 40
