EquityFeedAlerts,,2019-02-19 15:47:00,104.595,BLOCK TRADE IEF 890865 shares 10458 154651
NFTRH,,2019-02-19 12:51:00,104.635,Monetary Metals Central Planning is More Than Just Friction biiwiicom20190219centr GLD SLV UUP SPY DIA QQQ TLT IEF SHY
NFTRH,,2019-02-19 12:24:00,104.625,NFTRH Inflationist Gold bug WTF aka FOMOing at the mouth nftrhcom20190219inflat GDX GDXJ HUI GLD SLV TLT TIP IEF SPY
