LaserTrader23,False,2019-01-15 15:59:00,41.283,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""APHA"" href=""/symbol/APHA"" id=""APHA-150730762-864"">$APHA</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730762-865"">$CGC</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""CRON"" href=""/symbol/CRON"" id=""CRON-150730762-866"">$CRON</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""ACB"" href=""/symbol/ACB"" id=""ACB-150730762-867"">$ACB</a></span>
<a data-event=""click"" href=""https://www.reuters.com/article/us-usa-trump-barr-marijuana/u-s-attorney-general-nominee-wont-target-law-abiding-marijuana-businesses-idUSKCN1P92JO"" rel=""noopener nofollow"" target=""_blank"">reuters.com/article/us-usa-...</a>

-AG nominee “personally opposes Cannabis legalization”
-Wants Congress to come up with plan</div></div>"
reddawn222,True,2019-01-15 15:59:00,41.283,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730755-870"">$CGC</a></span> will shoot up after the bell</div></div>"
optionhunter7,True,2019-01-15 15:58:00,41.367,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""NBEV"" href=""/symbol/NBEV"" id=""NBEV-150730642-879"">$NBEV</a></span> fuck <span><a data-event=""click"" data-for=""cashTag"" data-tip=""ACB"" href=""/symbol/ACB"" id=""ACB-150730642-880"">$ACB</a></span> and <span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730642-881"">$CGC</a></span> , both of them are fucking overvalued. P/S of 56 time!!! R u fking kiding me. <span><a data-event=""click"" data-for=""cashTag"" data-tip=""NBEV"" href=""/symbol/NBEV"" id=""NBEV-150730642-882"">$NBEV</a></span>  p/s is less than 3.</div></div>"
xio8ups,False,2019-01-15 15:58:00,41.367,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730609-888"">$CGC</a></span> WHAT A DAYYY</div></div>"
APJFinancials,True,2019-01-15 15:57:00,41.411,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730358-901"">$CGC</a></span> Always some push-pull anytime a stock moves upward, it should be near $46 by end of week</div></div>"
strategery76,True,2019-01-15 15:57:00,41.411,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730307-904"">$CGC</a></span> Whats your opinion on the next catalyst for this (up or down)? Only thing on my radar is Feb 15 CC. But there are these beauties... <a data-event=""click"" href=""https://www.google.com/amp/s/www.forbes.com/sites/tomangell/2018/12/26/these-states-are-most-likely-to-legalize-marijuana-in-2019/amp/"" rel=""noopener nofollow"" target=""_blank"">forbes.com/sites/tomangell/...</a></div></div>"
buyandwait,True,2019-01-15 15:56:00,41.391,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730236-907"">$CGC</a></span> wtf happened here????</div></div>"
Whatjakesaid,True,2019-01-15 15:56:00,41.391,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730228-910"">$CGC</a></span> </div></div>"
brc1,True,2019-01-15 15:55:00,41.324,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150730037-913"">$CGC</a></span> bears r out...</div></div>"
Timschmidt9945,True,2019-01-15 15:55:00,41.324,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150729936-919"">$CGC</a></span> anybody think this will run in morning</div></div>"
Nuclear_Physicist_Trader,False,2019-01-15 15:55:00,41.324,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""CGC"" href=""/symbol/CGC"" id=""CGC-150729863-922"">$CGC</a></span> With 47% of shares Shorted by the worlds greatest traders, you know some bad news will make stock plummet to $5!</div></div>"
