Contingent_Traders,True,2019-01-15 15:27:00,0.7909,"<div class=""MessageStreamView__body___2giLh""><div>Rob's swings
<span><a data-event=""click"" data-for=""cashTag"" data-tip=""TRXC"" href=""/symbol/TRXC"" id=""TRXC-150723697-132"">$TRXC</a></span> <span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150723697-133"">$SESN</a></span></div></div>"
DannyTheFire,False,2019-01-15 15:22:00,0.7904,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""MBOT"" href=""/symbol/MBOT"" id=""MBOT-150722654-136"">$MBOT</a></span> Only <span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150722654-137"">$SESN</a></span> or <span><a data-event=""click"" data-for=""cashTag"" data-tip=""TCON"" href=""/symbol/TCON"" id=""TCON-150722654-138"">$TCON</a></span> can help you guys to recover the loss. Sorry.</div></div>"
Mike827,True,2019-01-15 15:04:00,0.7826,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150719203-147"">$SESN</a></span> MBOT.  LOL</div></div>"
Global_Warming_Hoax,True,2019-01-15 14:41:00,0.7871,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150714924-156"">$SESN</a></span>  A Break Away  has begun. </div></div>"
Mike827,True,2019-01-15 14:26:00,0.7862,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150712052-162"">$SESN</a></span> I wonder why all the fortune tellers didn't share with us last week that  MBOT was gonna go up this week.   Lol</div></div>"
10Bagr,True,2019-01-15 13:48:00,0.7752,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150705207-169"">$SESN</a></span> going to 1.05. Needs to test .73 and if it holds it should rip pretty quickly. Sideways action expected right now. Will be more shares</div></div>"
sully101,True,2019-01-15 13:29:00,0.7756,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150702059-184"">$SESN</a></span> brb ..when this is over 1</div></div>"
M2quotes,True,2019-01-15 13:17:00,0.774,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150700228-190"">$SESN</a></span> Maybe I’m missing it but where can U find a positive phase 3 for an unmet need, with $500k-800k annual rev at .76, app is imminent $$.</div></div>"
technium99,True,2019-01-15 11:44:00,0.7987,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150683959-226"">$SESN</a></span> this stock really hates being in the 80’s. Lets get on with it.</div></div>"
Mike827,True,2019-01-15 11:43:00,0.7987,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150683729-229"">$SESN</a></span> tik tok tik tok tik tok tik tok.      
 
💥💥💥BOOM💥💥💥</div></div>"
Mike827,True,2019-01-15 11:40:00,0.7981,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150683316-232"">$SESN</a></span> this is gonna be like MBOT on steroids!!</div></div>"
M2quotes,True,2019-01-15 11:25:00,0.795,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150680286-241"">$SESN</a></span> Anytime now or for sure after lunch. Run Forest Run🏃🏻‍♂️</div></div>"
GreenTeacup,False,2019-01-15 11:20:00,0.7941,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150679368-244"">$SESN</a></span> This is toast.</div></div>"
DJRe67,True,2019-01-15 11:00:00,0.7831,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150675527-256"">$SESN</a></span> nothing but ....</div></div>"
here2brich,True,2019-01-15 10:38:00,0.7749,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150670783-265"">$SESN</a></span> 
Very strong probability for Vicinium Approval</div></div>"
Global_Warming_Hoax,True,2019-01-15 10:26:00,0.7783,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150668216-286"">$SESN</a></span> Gap up is filled, Now we move up.</div></div>"
GreenTeacup,False,2019-01-15 10:15:00,0.7779,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150665500-295"">$SESN</a></span> Baggie Central USA.</div></div>"
M2quotes,True,2019-01-15 10:10:00,0.7856,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150664428-304"">$SESN</a></span> Gap filled at .79👍</div></div>"
Global_Warming_Hoax,True,2019-01-15 09:56:00,0.7946,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150660934-310"">$SESN</a></span> That Gap at .79 is almost filled. Let it fill.</div></div>"
GreenTeacup,False,2019-01-15 09:54:00,0.794,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150660432-313"">$SESN</a></span> Going red.</div></div>"
Dkamm1,True,2019-01-15 09:47:00,0.8101,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150658751-319"">$SESN</a></span> already 200k volume in 20 mins. Looking good on the reversal</div></div>"
Global_Warming_Hoax,True,2019-01-15 09:37:00,0.8035,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150656168-332"">$SESN</a></span> Please let that GAP UP fill move your bids back.</div></div>"
sully101,True,2019-01-15 09:34:00,0.8167,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150655603-335"">$SESN</a></span> about to block idiot <span class=""UserProfileLink__container___2JY3s""><a data-event=""click"" href=""/GreenTeacup"" id=""user-profile-GreenTeacup-1547604629880-336"">@GreenTeacup</a></span></div></div>"
Global_Warming_Hoax,True,2019-01-15 09:33:00,0.8167,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150655450-339"">$SESN</a></span> move back and let the gap up fill. the gaps always fill. better today than later.</div></div>"
GreenTeacup,False,2019-01-15 09:31:00,0.82,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""SESN"" href=""/symbol/SESN"" id=""SESN-150655071-342"">$SESN</a></span> Easy short.</div></div>"
