xmolinaj,True,2019-01-15 15:32:00,3.73,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150725011-12"">$GRPN</a></span> time to buy. Stop at 3,39. Target price is 4,30.</div></div>"
wobbie,True,2019-01-15 14:12:00,3.742,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150709641-15"">$GRPN</a></span> 8 days of green hasn't happened since 9/2017</div></div>"
Truman2332,False,2019-01-15 14:00:00,3.741,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150707513-18"">$GRPN</a></span> adding cheap jan and feb 3.50 puts..risk/reward nice</div></div>"
wobbie,True,2019-01-15 13:41:00,3.741,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150704155-25"">$GRPN</a></span> guess somebody was listening.</div></div>"
wobbie,True,2019-01-15 13:20:00,3.718,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150700700-28"">$GRPN</a></span> Last day for shorts prior to report. 10 trading days total for the report.</div></div>"
wobbie,True,2019-01-15 13:17:00,3.714,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150700331-31"">$GRPN</a></span> we may not finish green but with only 1 day of red so far for January, we are due</div></div>"
wobbie,True,2019-01-15 13:17:00,3.714,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150700250-34"">$GRPN</a></span> holding the gains from yesterday with some ping pong extended lunch</div></div>"
kgnfdeagle,True,2019-01-15 09:40:00,3.8,"<div class=""MessageStreamView__body___2giLh""><div><span><a data-event=""click"" data-for=""cashTag"" data-tip=""GRPN"" href=""/symbol/GRPN"" id=""GRPN-150656957-50"">$GRPN</a></span> This will fly above $4.00; bullish technical indicators all over the place; 2019 should be a phenomenal year for Groupon!</div></div>"
