andrewbird,True,2019-02-26 12:35:00,4.066,AEZS goin green as usual
Gemini_Potential,,2019-02-26 10:02:00,4.107,AEZS NVO Are experts I agree with their valuation of Macrilen SBBP were just opportunistic flippers
Gemini_Potential,,2019-02-26 09:58:00,4.076,AEZS legalese
Gemini_Potential,True,2019-02-26 09:57:00,4.076,AEZS 22 makes this number a joke This is either purposefully done or there is most likely nonpublic information to be announced
Gemini_Potential,,2019-02-26 09:56:00,4.07,AEZS Difficult to fathom 01mm sales with increased SGA Must be legalize going on behind closed doors Macrilens target market alone 12
Yenskonia,,2019-02-26 09:48:00,4.163,AEZS Im thinking we hear next Monday PM
