CEOBuys,,2019-02-26 15:50:00,2.862,LLNWs CEO bought shares 3 times since 2014 Go to ceobuyscom to learn more
JustFollowTheAuction,,2019-02-26 12:11:00,2.85,LLNW I believe they have an open buyback right nowbut not 100 sureeither way its time to return value to shareholders
JustFollowTheAuction,,2019-02-26 12:10:00,2.849,LLNW id like to see managementBOD institute a buyback If mgmt thinks theres a big disconnect between pricevalue then its time to act
