Sykes,,2019-02-26 14:36:00,93.17,EXAS
Dalton14,True,2019-02-26 14:24:00,92.945,EXAS I smell 93
homer212,,2019-02-26 13:29:00,92.373,EXAS VCYT GHDX NVTA GH RHHBY Wont sell these stocks until people talk about them at cocktail parties like the do TSLA
homer212,,2019-02-26 13:27:00,92.325,EXAS VCYT GHDX NVTA GH RHHBY the great thing is we are at the start of a great revolution and no one recognizes it No ETF
homer212,,2019-02-26 13:20:00,92.46,EXAS VCYT GHDX NVTA GH RHHBY The profiteers of the genetic age Make money and improve the world Like MSFT in 1990 IBB
homer212,,2019-02-26 13:18:00,92.495,EXAS VCYT GHDX NVTA GH RHHBY These cos lowering the systemic cost of healthcare improving outcomes OK with both partiesFDA IBB
homer212,,2019-02-26 13:16:00,92.52,EXAS VCYT GHDX NVTA GH RHHBY These cos are quietly changing the face of medicine Buckshot to Sniper All right under your noses IBB
Benzinga,,2019-02-26 12:41:00,92.288,Exact Sciences A MustOwn Growth Stock Goldman Sachs Says In Upgrade EXAS benzingacomanalystrating
MariaC82,,2019-02-26 12:40:00,92.223,Upgrades Downgrades Initiations More PCG ALLY KDMN EXAS EVER AQUA I TWOU WDAY THC DDS BKNG ETSY RS
EstimizeAlerts,,2019-02-26 12:15:00,91.96,Estimize EPS expectations are 3817 higher than that of Wall Street for EXAS Q1 Reporting 0425 AMCestimizecomintroexascha
jbalboni,,2019-02-26 12:09:00,91.9,EXAS The level of debt compared to net worth has increased over the past 5 years 13 vs 1012 today
jbalboni,,2019-02-26 12:08:00,91.75,EXAS Exact Sciences is not expected to efficiently use shareholders funds in the future Return on Equity less than 20
jbalboni,,2019-02-26 12:07:00,91.628,EXAS Exact Sciences is loss making we cant compare the value of its earnings to the United States of America market
jbalboni,,2019-02-26 12:06:00,91.676,EXAS Exact Sciences is loss making we cant compare its value to the US Biotechs industry average
fla,,2019-02-26 12:05:00,91.725,EXAS Rating update at February 26 120619 Goldman upgrades Neutral to Buy with price target of 85 120 hostingbriefingcomcschwa
jbalboni,,2019-02-26 11:49:00,91.959,EXAS turnstiles will be fast furious once 9805 is hit for 20d itll be fun to watch who is left on the platform when the train leaves
topstockalerts,,2019-02-26 11:33:00,92.064,Benzingas Top Upgrades Downgrades For February 26 2019CELG NLS ONCE EXAS PCG ALLY CAT KHC I EVER PANWmbenzingacomarticle1324
Renohawk,True,2019-02-26 11:30:00,92.015,EXAS Love the base its forming around 92 before it rips to triple digits Extremely bullish pattern
jbalboni,,2019-02-26 11:18:00,92.25,EXAS Holy Overpriced
jbalboni,,2019-02-26 11:11:00,92.09,EXAS since EXAS is currently unprofitable sustainability of its current state of operations becomes a concern
jbalboni,,2019-02-26 11:10:00,92.025,EXAS Considering Exact Sciencess total debt outweighs its equity its apparent the equity they have is borrowed
Benzinga,,2019-02-26 10:50:00,92.932,Benzingas Top Upgrades Downgrades For February 26 ALLY EXAS EVER PCG CAT KHC PANW NLS ONCE CELG I benzingacomanalystrating
taguru,,2019-02-26 10:49:00,93.112,EXAS Exact Sciences EXAS 9176 was the markets top quarterly gainer rising 32 tickeroncomeventid637448
theflynews,,2019-02-26 10:31:00,93.26,Fly Intel Top five analyst upgrades EXAS theflycomlandingPageNews
topstockalerts,True,2019-02-26 10:11:00,92.484,UpgradesAQUA EXAS PCG ALLY KDMN ITUB AMH EVER
jqnn,,2019-02-26 10:05:00,92.474,EXAS Just saw Cologuard ads play on 2 different articles I opened on Yahoo Every time EXAS overwhelms with ads their price skyrockets
silverjet2,,2019-02-26 09:37:00,93.83,Notable Analyst Upgrades 0226 PCG ALLY SIEGY GRBMF AMH KDMN EXAS EVER AQUA VLRS
