jplw,,2019-02-26 13:01:00,4.37,ADRO gap to 6 coming Island reversal
JiggleNut,,2019-02-26 12:15:00,4.38,ADRO
JiggleNut,True,2019-02-26 12:10:00,4.335,ADRO I think shes got one more good push up in her before she really turns It will most likely flat line next week before it goes south
