MarketBeatInsiderTrades,,2019-02-26 15:39:00,27.003,Williams Companies Insider Walter Bennett Sells 40312467 in WMB marketbeatcomstocksNYSE
VolumeBot,,2019-02-26 14:15:00,27.09,WMB short volume reported to FINRA 555451 on 022519 374008 on 022219 volumebotcomsWMB
insiderbuyingselling,,2019-02-26 13:41:00,27.19,WMB new insider selling 14859 shares insiderbuyingsellingcomt
livetraderalerts,,2019-02-26 12:10:00,27.3,WMB 19m ago Insider Timmermans Ted T VP Controller and CAO added 5174 219 shares at 0share ExerciseConver secgovArchivesedgardata
livetraderalerts,,2019-02-26 12:07:00,27.327,WMB 21m ago Insider Scheel James E Senior Vice President added 21590 304 shares at 0share ExerciseConversi secgovArchivesedgardata
livetraderalerts,,2019-02-26 12:06:00,27.321,WMB 23m ago Insider Poarch John E SVP Engineering Services added 2299 37 shares at 0share ExerciseConvers secgovArchivesedgardata
livetraderalerts,,2019-02-26 12:03:00,27.336,WMB 19m ago Insider Hallam Scott A SVP Atlantic Gulf added 3113 88 shares at 0share ExerciseConversion secgovArchivesedgardata
livetraderalerts,,2019-02-26 12:01:00,27.341,WMB 20m ago Insider Bennett Walter J Senior Vice President added 6487 57 shares at 0share ExerciseConversio secgovArchivesedgardata
livetraderalerts,,2019-02-26 11:58:00,27.352,WMB 16m ago Insider ARMSTRONG ALAN S President and CEO added 106096 153 shares at 437share ExerciseConvers secgovArchivesedgardata
