c2dajay,True,2019-02-26 15:44:00,19.928,MU wow outperformed everyone in my chip watchlist cept MRVL
EstimizeAlerts,,2019-02-26 14:45:00,19.821,MRVL reported 646 Gross Margins last quarter Next report is on 0307 AMC Jury is still out on expectations Whats yoursestimizecomintromrvlcha
EstimizeAlerts,,2019-02-26 13:06:00,19.799,MRVLs Gross Margins is a key growth metric for their next report on 0307 AMC Will they beat last quarters 646 Gross Marginsestimizecomintromrvlcha
EstimizeAlerts,,2019-02-26 11:27:00,19.831,MRVL reported 646 Gross Margins last quarter Next report is on 0307 AMC Jury is still out on expectations Whats yoursestimizecomintromrvlcha
EstimizeAlerts,,2019-02-26 09:48:00,19.7,MRVLs Gross Margins is a key growth metric for their next report on 0307 AMC Will they beat last quarters 646 Gross Marginsestimizecomintromrvlcha
