AxelRose,,2019-06-03 15:03:00,1.775,KEG is that green I see
CMSP,True,2019-06-03 14:39:00,1.795,KEG 180lets go
CMSP,True,2019-06-03 12:17:00,1.68,KEG Key Energy has the largest fleet of service rigs in the United States and services all major oil and gas basins Also thanks to dabeebzgood listen on where oilgas prices are going videofoxbusinesscomv604
CMSP,True,2019-06-03 11:35:00,1.669,KEG Finally in 165 great entry imo
