androsForm,,2019-06-03 11:34:00,43.047,SCO TRIP JNUG catching bull flow
EstimizeAlerts,,2019-06-03 11:08:00,43.066,Estimize EPS expectations are 186 higher than that of Wall Street for TRIP Q2 Reporting 0731 AMCestimizecomintrotripcha
EstimizeAlerts,,2019-06-03 11:07:00,43.087,TRIPs MAUs is a key growth metric for their next report on 0731 AMC Will they beat last quarters 411M MAUsestimizecomintrotripcha
