ChartMill,,2019-06-03 13:31:00,150.505,CI The EPS has grown by an nice 1951 over the past year chartmillcomanalyzephpu
jmfrrs,,2019-06-03 13:31:00,150.505,CI Buyback Thats whole current authorization Look to increase at next board meeting
jmfrrs,,2019-06-03 13:29:00,150.825,CI Moving share repurchase of 15b into 2019 should keep a bid under the shares Thats 10mil shares at todays prices Noted at investor day
GreatVibes007,True,2019-06-03 09:45:00,149.675,CI RSI M MFI All strong as expected maybe 3 today
GreatVibes007,True,2019-06-03 09:40:00,149.45,CI Only 25 Up Bullish
