VladoSykora,,2019-06-03 12:18:00,66.864,Some USMarkets Analysts Ratings DMRC ECOR ROK AAXN AVPsource finscreener
NormTheGreat,True,2019-06-03 11:09:00,66.859,AAXN for anyone counting that flurry of contracts adds up to about 600 additional body cams Some of the agencies also bought in car cams and interview room cams Can you say SAAS and recurring revenueKeep building g that snowball AAXN
StockStuffer44,True,2019-06-03 10:39:00,66.328,AAXN Lawmakers fund bodycams for Erie County sheriffs deputiesbuffalonewscom20190523
StockStuffer44,True,2019-06-03 10:12:00,65.5,AAXN Boston police to wear body cameras in South Boston Dorchesterbostonheraldcom20190601
EstimizeAlerts,,2019-06-03 10:06:00,65.1,Estimize EPS expectations are 535 higher than that of Wall Street for AAXN Q2 Reporting 0806 AMCestimizecomintroaaxncha
StockStuffer44,True,2019-06-03 10:06:00,65.1,AAXN Longmont police latest Boulder County agency to start officer worn camera programdenverpostcom20190521l
StockStuffer44,True,2019-06-03 10:00:00,65.245,AAXN Westerville Police Body cameras coming in Julythisweeknewscomnews20190
StockStuffer44,True,2019-06-03 09:51:00,65.923,AAXN Loveland PD purchase body camerastimescallcom20190531lo
