VladoSykora,,2019-06-03 12:19:00,174.5,Some recent Strong Buy NASDAQ100 earnings ratings ALXN CMCSA LRCX NXPI SBUXsource finscreener
EstimizeAlerts,,2019-06-03 10:45:00,176.937,LRCX analysts on Estimize are expecting 2375 YoY revenue growth for Q4 down from 1566 in Q3 Reporting 0725 AMCestimizecomintrolrcxcha
EstimizeAlerts,,2019-06-03 10:45:00,176.937,LRCX reported 451 Gross Margins last quarter Next report is on 0725 AMC Jury is still out on expectations Whats yoursestimizecomintrolrcxcha
TahitiMan,,2019-06-03 10:18:00,176.714,LRCX at this level is a nobrainer You cant get any better than this
TahitiMan,,2019-06-03 10:18:00,176.714,LRCX absolutely destroyed earnings the last time This is a great company run by tremendous staff Only AMD is the better stock
TahitiMan,,2019-06-03 10:17:00,176.61,LRCX Buying LRCX now is like having Christmas in summer Ive you been to Aussieland you know how great that is
