X_Capital,,2019-06-07 15:59:00,2.356,NBR can this close green
Unicorn74,True,2019-06-07 15:38:00,2.37,CHK NBR DNR NE MNKD Music for the Power Hour next 30min Animation Ajin main theme youtubecomwatchvUnDHBT8
MrBigLicks,True,2019-06-07 14:54:00,2.376,NBR assault on big oil by those with alternative energy agendas is the new norm I believe Only reason I see for sector performance
Unicorn74,True,2019-06-07 14:16:00,2.39,CHK NBR DNR NOG NE Oil chart is reversing strong Your time is up shorties How you like that
Unicorn74,True,2019-06-07 14:10:00,2.345,CHK NBR EKSO MNKD NEOS Unicorn music one more time High Score by Nightcore youtubecomwatchvptSvxHO
Unicorn74,True,2019-06-07 13:59:00,2.333,NBR Finally moving Green close plz
PMD777,,2019-06-07 13:48:00,2.299,NBR Been watching this one for awhile now but after reading a quality writers opinion on this in Seeking Alpha I think its dead money unless oil surges
Schlarson,,2019-06-07 12:58:00,2.265,NBR Is there some bad news out on this or what Makes no sense FU NBR
EquityFeedAlerts,,2019-06-07 12:16:00,2.235,BLOCK TRADE Microcap NBR 1393027 shares 226 121356
ubuylowsellhigh,True,2019-06-07 12:15:00,2.238,NBR bunch of block buys
EquityFeedAlerts,,2019-06-07 11:55:00,2.285,BLOCK TRADE Microcap NBR 500000 shares 231 115349
ajworks,,2019-06-07 11:53:00,2.293,NBR got another bunt goingright now towards the mound
EquityFeedAlerts,,2019-06-07 11:24:00,2.281,BLOCK TRADE Microcap NBR 250000 shares 229 112106
Unicorn74,True,2019-06-07 10:45:00,2.297,CHK NBR DNR NOG NE Saudi sure of OPEC cuts extension after talks with Russia investingcomnewscommodit
Unicorn74,True,2019-06-07 10:14:00,2.315,CHK NBR DNR NOG NE I think were going green today Music for oil bullz Dance at the Moonlight by Instrumental Core Music youtubecomwatchvztsyK6o
EquityFeedAlerts,,2019-06-07 10:11:00,2.319,BLOCK TRADE Microcap NBR 250000 shares 231 100813
EquityFeedAlerts,,2019-06-07 10:05:00,2.329,BLOCK TRADE Microcap NBR 300000 shares 230 100310
Schlarson,,2019-06-07 09:35:00,2.32,NBR So the market is up over a hundred oil is green and all of my oil related stuff is redmakes sense
