Toddlane,,2019-06-07 15:00:00,187.72,MU SOXX 200 day trending up
JorelLaraKalel,,2019-06-07 13:49:00,187.741,3 Big Reasons AMD Stock Is Just Starting Its Next Growth Surge AMD amd INTC QCOM SMH SOXX investorplacecom2019063
m3s,True,2019-06-07 13:43:00,187.84,SOXX SMH another 15 to make up for in recent dip
cybercash28,,2019-06-07 11:56:00,187.793,NVDA above 14629 is good AMD also HH SOXX SOXL QQQ
live2lose,True,2019-06-07 10:40:00,187.137,QQQ SPY SOXX being right is better than any hooker Ive been with or crack I have smoked
cybercash28,,2019-06-07 10:33:00,186.571,AAPL broke 190 RSI finally rising to bullish zone Above ma200 Downtrend reversal Big leader leading Just getting started DIA QQQ SOXX XLK
cybercash28,,2019-06-07 10:31:00,186.9,SPY tape action telling us to ATH so why SELL or SHORT BTD BTD BTD yes QQQ SOXX IWM HACK
cybercash28,,2019-06-07 10:20:00,186.737,NVDA HH above 14619 can go to 160 level Mrkt strong Shorts need to cover QQQ SOXX SPY SOXL
cybercash28,,2019-06-07 09:40:00,186.446,SPY mrkt will go back to ATH so BTD QQQ SOXX IHI XSW
