nicho208,True,2019-06-07 15:33:00,11.88,FOLD back to 12
Turtletrading,,2019-06-07 10:32:00,11.83,FOLD Amicus Therapeutics FOLD 1177 was the stock markets top loser yesterday falling 392 Expect a Downtrend reversal tickeroncomappnewsSearch
Turtletrading,,2019-06-07 09:54:00,11.85,FOLD Amicus Therapeutics FOLD 1177 was the markets top weekly gainer with a 7 jump Expect an Uptrend continuation tickeroncomappnewsSearch
