petrus61magnum,,2019-06-07 14:02:00,8.23,CVE hmmmm
taguru,,2019-06-07 11:20:00,8.065,CVE Cenovus Energy CVE 788 was the months biggest loser descending 11 Expect a Downtrend continuation tickeroncomappnewsSearch
taguru,,2019-06-07 10:19:00,8.051,CVE Cenovus Energy CVE 788 was this weeks top stock market loser declining 5 Expect a Downtrend continuation tickeroncomappnewsSearch
