Esterostktrader,True,2019-05-23 15:27:00,6.001,CENX about 2025 below tangible book
GettingPaid,True,2019-05-23 15:03:00,5.978,CENX In with a small bite This is getting ridiculous now
One_Eye_Bobby,,2019-05-23 09:47:00,6.095,CENX all of you iron stomachs out there this sector is being heavily manipulated imo similar to oil Stocks dont match commodity prices
One_Eye_Bobby,,2019-05-23 09:43:00,6.155,CENX and I remember they were excited about Trump
One_Eye_Bobby,True,2019-05-23 09:34:00,6.018,CENX this is going to be an easy 2X4X gain when it rotates
