dennycout,,2019-05-23 14:32:00,1.28,LMFA hmmm we will fly guys
fred_trader,,2019-05-23 12:34:00,1.3,LMFA can anybody show the orders please
mrinvestorpro,,2019-05-23 12:11:00,1.3,LMFA price action psychologically showing s big move here Not sure which way yet Play it how u feel but massive move coming cant explain why just saying
fred_trader,,2019-05-23 10:10:00,1.303,LMFA Will the few remaining vendors liquefy
fred_trader,,2019-05-23 10:05:00,1.303,LMFA Expected
