ChartMill,,2019-05-23 14:24:00,0.8983,SCON is cheaper than 89 of the companies listed in the same industry chartmillcomanalyzephpu
Glopolon,,2019-05-23 12:53:00,0.9146,SCON Roughly 5m shares at 090 is 45m market cap they invested 4050m into their wirepatents and facilities At full capacity this would be bringing in good profit
Glopolon,,2019-05-23 12:49:00,0.9104,SCON They have a great outlook in that presentation but the market is skeptical based on prior failures They only raised about 1 quarter worth of cash Still it is being given little value considering the potential
supercon,,2019-05-23 12:49:00,0.9104,SCON phxcorporateirnetExternnew presentation worth reading
supercon,,2019-05-23 12:45:00,0.899,SCON Theres a new presentation on their homepage worth checkingphxcorporateirnetExtern
