desert_fox,True,2019-05-23 15:42:00,3.245,EXPR If Timothy Baxter can get this to 400 again I will S his D
EstimizeAlerts,,2019-05-23 14:36:00,3.254,EXPR reported 60 Comparable Sales last quarter Next report is on 0530 BMO Jury is still out on expectations Whats yoursestimizecomintroexprcha
EstimizeAlerts,,2019-05-23 12:57:00,3.285,EXPRs Comparable Sales is a key growth metric for their next report on 0530 BMO Will they beat last quarters 60 Comparable Salesestimizecomintroexprcha
EstimizeAlerts,,2019-05-23 11:19:00,3.337,EXPR reported 60 Comparable Sales last quarter Next report is on 0530 BMO Jury is still out on expectations Whats yoursestimizecomintroexprcha
EstimizeAlerts,,2019-05-23 09:42:00,3.281,EXPRs Comparable Sales is a key growth metric for their next report on 0530 BMO Will they beat last quarters 60 Comparable Salesestimizecomintroexprcha
EstimizeAlerts,,2019-05-23 09:33:00,3.273,Heres what 3 Estimize analysts believe EXPR will report for Q1 2019 revenue Reporting 0530 BMOestimizecomintroexprcha
