toddsclowns,,2019-05-23 15:57:00,2.01,SFET added back half position
W404,True,2019-05-23 15:42:00,2.013,SFET hey collegeaue small investors dont pay attention to what I write THE VALUE of your SHARES is worth MUCH MORE than 2 bucks thats the main issuethat someone is mottafokking all the time is very clear I wanted to look at some possible scenarios why they are mottafokkin it so much I KEEP MY shares at least till 35 to 45 they took out stoplosses several weeks agoon that 100k volume day since than volume dried up to 5 to 10k per day so they are still sitting on that inventory and they added more last few days also dont forget they capped price last thursday so that price wouldnt close over 23x level which would have triggered extra buying cause of 20 50 mda I will stop posting cause I wrote enough about sfet too boring
W404,True,2019-05-23 15:03:00,2.034,SFET an entity that is able to control stockprice from end of last year till now suitable candidate that venture capitalist that is providing loans to takeover NETNUT if you can provide 6 million than you also have the means to manipulate stockprice to keep it at 2 otherwise they had to pay more for a stake in SFET NETNUT combined
W404,True,2019-05-23 14:56:00,2.034,SFET that venture capitalist that is providing loans to buy netnut should also offer a buyout price for sfetlets say 5 to 6 per share for SFET only than they pay total price of 30 million dollars for 100 control thats a steal cause NETNUTs growth and SFETs starting to get serious contracts combined they can do 10million revenue within a year than that investment is worth already 50 to 60 million dollar a
W404,True,2019-05-23 14:46:00,2.034,SFET JUST take this turd private being on market has no benefit let someone buy the SFET branch for 15 million it has no use to be on the stockmarket with shares that are a fraction of the value of the company Someone wants to buy SFET NETNUT for 30million than you take out a growing competitor you add 50 people to staff and shareholders get 45
W404,True,2019-05-23 14:41:00,2.034,SFET MM needs to be replaced spread 20x214 7 spreadyesterday he bumped price with one share at 1600 closing all day 220 last second 231 on 1 share They will say to management that its so called automatic
W404,True,2019-05-23 12:27:00,2.128,SFET I am fully vested at average 23 otherwise I took advantage of MM troll dont chase but put yourself inbetween if you are interested in buying a few shares so that marketmaker troll and his group has less inventory
W404,True,2019-05-23 12:15:00,2.06,SFET MarketMaker troll and that group he is working for did bump up shareprice yesterday from 220 to 231 on 1 share yes 1 share with one purpose to colour it red all day on thursdaynow it looks like the end is near with 9 down move on NO VOLUME to start with keep in mind that closing price on motherexchange in IL corresponds with 225 that troll just wants to steal shares today and probably tomorrow
aphasma,,2019-05-23 11:40:00,2.095,SFET What about the meeting today Any news on that
W404,True,2019-05-23 11:19:00,2.095,SFET closing in Israel corresponds with 225 in US tomorrow Israel is closed there was no volume so no real sellers same in US when takeover concluded I expect steady rise and hopefully company gives a sign of life on possible new contracts they have been quiet for 5 months except that single vendor ministry contract
aphasma,,2019-05-23 10:40:00,2.162,SFET Bulls are constantly being killed by the Bears
aphasma,,2019-05-23 10:15:00,2.136,SFET bid 213and ask 229lol
