Ro_Patel,,2019-05-23 12:38:00,44.585,Huawei American suppliers Revs from of revs fromNPTN LITE QRVO NVDA MSFT
RocketQueen,False,2019-05-23 11:39:00,44.803,LITE insider selling is always terrible Dont try to rationalize it
RocketQueen,False,2019-05-23 11:34:00,44.794,LITE they quit data center taking a big cut to 5G and any interruption to sensing could take them out completely
