AnalystRatingsNetwork,,2019-05-23 15:25:00,160.195,NASAs firstofkind tests look to manage drone in cities FDX FDX marketbeatcomarticlesnas
luvstocks13,True,2019-05-23 15:24:00,160.013,FDX Lets see 7 in 30
luvstocks13,True,2019-05-23 15:21:00,160.26,FDX crossing 200sma
luvstocks13,True,2019-05-23 15:19:00,159.92,FDX
luvstocks13,True,2019-05-23 13:39:00,160.119,FDX I think its going to run now Nice
Spartanoptionalert,False,2019-05-23 11:21:00,160.288,Bear AlertDRI 2450 June monthly 110 puts bought for 1 failed breakout this week above 122 FDX buyers of 850 September monthly 160 puts for 1145 to 12 today
wunderfitz,,2019-05-23 10:42:00,159.272,FDX Hitting 200 is a myth but whats going on here is active sabotage Look at those bulk orders continuously hitting and dumping it whenever there is a sign of relief Someone is spending a lot of cash to keep the down pressure on
EstimizeAlerts,,2019-05-23 10:40:00,158.88,Heres what 10 Estimize analysts believe FDX will report for Q4 2019 EPS Reporting 0625 AMCestimizecomintrofdxchar
luvstocks13,True,2019-05-23 09:55:00,159.03,FDX it will only drop so far then booom 200
