fadetoblack,,2019-05-23 15:12:00,171.03,LULU Sloppy HS forming up need a neckline break for possible gap fill MFI is bearish as well
EstimizeAlerts,,2019-05-23 15:04:00,170.685,Heres what 61 Estimize analysts believe LULU will report for Q1 2019 revenue Reporting 0530 AMCestimizecomintrolulucha
EstimizeAlerts,,2019-05-23 15:04:00,170.685,LULU analysts on Estimize expect 3511 YoY growth in Same Store Sales for Q1 down from 21000 in previous year Reporting 0530 AMCestimizecomintrolulucha
EstimizeAlerts,,2019-05-23 13:27:00,172.718,Heres what 61 Estimize analysts believe LULU will report for Q1 2019 EPS Reporting 0530 AMCestimizecomintrolulucha
EstimizeAlerts,,2019-05-23 13:27:00,172.718,LULU estimates distribution heres what 9 Estimize analysts are expecting LULU to report for Q1 Same Store Sales on 0530 AMCestimizecomintrolulucha
WallStreetBeat,True,2019-05-23 12:06:00,172.7,UAA UA NKE LULU Women rank Under Amour as number two 29 with Adidas 17 and Lululemon 9 trailing Men on the other hand put Adidas in the number two slot at 35 followed by Under Armour at 18 and Lululemon 4 is barely mentioned
bearcharts,,2019-05-23 11:50:00,172.98,Covered LULU small expiring strike175 c for small gains 18 and I could have had another 55 right now I was glad they were no longer inthemoney and I wanted to raise cash I have the paired 172½ short p though Probably should have left well enough alone with the call position
EstimizeAlerts,,2019-05-23 11:48:00,172.973,LULU analysts on Estimize are expecting 1754 YoY revenue growth for Q1 down from 2565 in Q4 Reporting 0530 AMCestimizecomintrolulucha
EstimizeAlerts,,2019-05-23 11:48:00,172.973,Heres what 9 Estimize analysts believe LULU will report for Q1 Same Store Sales on 0530 AMCestimizecomintrolulucha
EstimizeAlerts,,2019-05-23 10:09:00,174.325,LULU analysts on Estimize are expecting 3352 YoY EPS growth for Q1 down from 3910 in Q4 Reporting 0530 AMCestimizecomintrolulucha
EstimizeAlerts,,2019-05-23 10:09:00,174.325,LULU analysts on Estimize expect 3511 YoY growth in Same Store Sales for Q1 down from 21000 in previous year Reporting 0530 AMCestimizecomintrolulucha
WallStreetBeat,True,2019-05-23 09:37:00,174.27,UAA UA RYPPF LULU NKE RYU Receives Successful US Registration of Design Patent on Iconic Quick and Locker Backpacks financeyahoocomnewsryu
