risenhoover,,2019-03-26 13:46:00,107.031,AWK American Water Works Co files form DEF 14A httpsfinteliofilingsusawk
cctranscripts,,2019-03-26 13:43:00,107.026,American Water Form Schedule Or Registration Statement No Filing Party Date Filed conferencecalltranscriptso AWK
fla,,2019-03-26 13:43:00,107.026,AWK filed SEC form DEFA14A on March 26 134202 secgovArchivesedgardata
cctranscripts,,2019-03-26 13:41:00,107.08,American Water Works releases salary data CEO sees compensation rise 14 conferencecalltranscriptso AWK
fla,,2019-03-26 13:40:00,107.05,AWK filed SEC form DEF 14A on March 26 133839 secgovArchivesedgardata
