Oct,True,2019-03-26 14:56:00,3.66,ASTC Smiling quietly At least USS ASTC is kinda holding her ownnot leaking too much
michaelbmaxey,,2019-03-26 12:12:00,3.59,ASTC 854 shareswow
michaelbmaxey,,2019-03-26 12:12:00,3.597,ASTC 854 shareswow
BowernTrumpl,True,2019-03-26 11:18:00,3.598,ASTC volume is ridiculous
Getitgogone,True,2019-03-26 10:59:00,3.598,ASTC Dont get too anxious Normal for ASTC unfortunatelyChess match Flaky price movesHUGE spread bidaskNews always after you sell
Getitgogone,True,2019-03-26 10:56:00,3.598,ASTC I bought more yesterdayShould have waited I guessYoull have to pry my shares from my cold dead handsWhen you least expect it BOOM
Getitgogone,True,2019-03-26 10:54:00,3.598,ASTC Confidence builder would be appropriateEG Orders for tracer 1000 in EuroIn discussions with a potential buyer for 1st detectetc
Getitgogone,True,2019-03-26 10:39:00,3.598,ASTC Cant accuse ASTC of pumping their stock The pendulum needs to swing the other wayTransparency and shareholder enlightenment
