CGIX,109,0,109.0
ACB,56,0,56.0
AMPE,42,0,42.0
ARRY,42,0,42.0
AUPH,41,0,41.0
ADMP,33,0,33.0
BA,31,0,31.0
ANY,27,0,27.0
BHC,27,1,27.0
AVEO,49,2,24.5
AMRH,24,0,24.0
BPTH,46,2,23.0
APHA,68,3,22.67
BMY,22,1,22.0
ACRX,19,1,19.0
AVGR,76,4,19.0
ATIS,17,0,17.0
ATVI,15,1,15.0
ALT,14,1,14.0
CELG,12,1,12.0
BPMX,47,4,11.75
BLRX,30,3,10.0
BZUN,10,0,10.0
AYTU,59,6,9.83
ATHX,8,1,8.0
ABIL,7,0,7.0
AUY,7,0,7.0
BIDU,7,0,7.0
AGEN,6,0,6.0
ANFI,6,0,6.0
AKER,38,7,5.43
AAL,5,1,5.0
AKAO,5,0,5.0
APRN,5,1,5.0
ASTC,5,0,5.0
AAPL,224,49,4.57
AXSM,13,3,4.33
ATOS,4,0,4.0
CAT,4,0,4.0
BILI,4,0,4.0
AKS,11,3,3.67
BABA,33,9,3.67
AWSM,17,5,3.4
AG,3,0,3.0
AMZN,313,106,2.95
ACAD,2,0,2.0
ARLO,6,3,2.0
BAC,16,9,1.78
AMD,212,199,1.07
ACHN,1,0,1.0
ACST,1,0,1.0
AETI,1,0,1.0
AKRX,1,0,1.0
ASNS,1,0,1.0
BBBY,1,0,1.0
C,2,2,1.0
AMRN,25,31,0.81
AMAT,1,3,0.33
AAP,0,0,0.0
ARWR,0,0,0.0
AWX,0,0,0.0
