01-30-19-03:59_ACB,6.919
01-30-19-03:59_AKER,1.154
01-30-19-03:59_AMD,20.759
01-30-19-03:59_AMZN,1670.587
01-30-19-03:59_BB,8.125
01-30-19-03:59_BIOC,1.875
01-30-19-03:59_CRMD,1.87
01-30-19-03:59_GE,9.099
01-30-19-03:59_HMNY,0.0106
01-30-19-03:59_MNGA,0.2456
01-30-19-03:59_MNKD,1.227
01-30-19-03:59_NAK,0.77
01-30-19-03:59_NBEV,6.995
01-30-19-03:59_NIO,7.436
01-30-19-03:59_NVAX,2.269
01-30-19-03:59_NVCN,0.7545
01-30-19-03:59_RGSE,0.5156
01-30-19-03:59_TOPS,0.9401
01-30-19-03:59_TRXC,2.775
01-30-19-03:59_WATT,7.371
