ARRY,144,0,144.0
AVGR,165,3,55.0
ACRX,53,0,53.0
AMRH,48,0,48.0
AKS,40,0,40.0
BIOC,36,0,36.0
AYTU,32,0,32.0
AKER,27,0,27.0
ATVI,27,0,27.0
BHC,44,2,22.0
ADMP,21,0,21.0
BPTH,20,0,20
AMPE,17,0,17.0
BPMX,16,0,16.0
AKAO,13,1,13.0
AWSM,13,1,13.0
BLRX,51,5,10.2
ALT,10,0,10.0
AGEN,9,0,9.0
AUPH,8,0,8.0
BIDU,8,0,8.0
APHA,177,23,7.7
BABA,80,12,6.67
ABIL,6,0,6.0
AAPL,222,40,5.55
ATOS,5,0,5.0
BBBY,5,1,5.0
BMY,5,0,5.0
BOXL,5,0,5.0
APRN,4,0,4.0
AUY,4,0,4.0
BILI,4,0,4.0
ARLO,11,3,3.67
AAL,3,0,3.0
ACAD,3,0,3.0
AG,3,0,3.0
ARWR,3,0,3.0
AMZN,255,89,2.87
BA,97,34,2.85
BB,35,15,2.33
AVEO,27,13,2.08
ANY,2,1,2.0
ASNS,2,0,2.0
ATHX,2,0,2.0
AMRN,34,19,1.79
BAC,12,10,1.2
AMD,372,368,1.01
AETI,1,0,1.0
ANFI,1,0,1.0
ATIS,1,0,1.0
AXSM,4,4,1.0
AMAT,1,2,0.5
AAP,0,0,0.0
ACHN,0,0,0.0
ACST,0,0,0.0
AKRX,0,0,0.0
ASTC,0,0,0.0
AWX,0,0,0.0
