iceehockey21,,2019-05-31 15:10:00,10.951,GSKY dear friend Trump sending us back into the gutter lmao
Turtletrading,,2019-05-31 10:53:00,11.26,GSKY GreenSky GSKY 1148 was the markets top weekly gainer with a 7 jump Expect an Uptrend reversal tickeroncomeventid14796
Turtletrading,,2019-05-31 10:02:00,11.331,GSKY GreenSky GSKY 1148 was the months biggest loser shedding 28 tickeroncomeventid14840
