VolumeBot,,2019-05-31 13:59:00,21.252,Short volume percent for AA was 3891 on 053019 and 20 day rank was 10th percentile volumebotcomsAA
taguru,,2019-05-31 11:44:00,21.263,AA Alcoa AA 2162 was this quarters top loser falling 27 tickeroncomeventid14858
Turtletrading,,2019-05-31 11:28:00,21.21,AA Alcoa AA 2162 drop 27 over the last 3 months tickeroncomeventid14895
Turtletrading,,2019-05-31 11:12:00,21.17,AA Alcoa AA 2162 was the months biggest loser shedding 19 tickeroncomeventid14831
taguru,,2019-05-31 10:59:00,21.28,AA Alcoa AA 2162 was this weeks top stock market loser declining 7 Expect a Downtrend continuation tickeroncomeventid14873
