danielrobertson,True,2019-05-31 14:25:00,30.11,VLO Panic selling is when you make the big bucks MPC DK PSX specially on Friday
taguru,,2019-05-31 11:22:00,30.699,DK Delek US Holdings DK 3166 was the stock markets top loser yesterday falling 397 Expect a Downtrend continuation tickeroncomeventid14806
taguru,False,2019-05-31 11:07:00,30.805,AIdvisor made a bearish call on DK netting in a 1713 gain over 1 month tickeroncomeventid14641
