SKIER8731,,2019-05-31 13:19:00,1.485,DNR Blondie starts a war with China then EU then North Korea Then Iran Venezuela in the mix now Mexico WTF is wrong with this dude
SKIER8731,,2019-05-31 12:37:00,1.495,DNR The Art of No Deal
arcadiain,,2019-05-31 12:36:00,1.495,DNR Trump Latest Mexico tariffs will bring auto industry jobs back to US fight drug smuggling and help correct trade deficit cnbccom20190531trumpm
SKIER8731,,2019-05-31 12:36:00,1.495,DNR Oil is lower lows lower highsfollow the trend this is where longs lose all their money catching bounces is only for a minute by minute day trader
CanAm2,,2019-05-31 12:16:00,1.505,DNR Oil stocks are reacting to a horrible market and oil day as if they know it is going to bounce back In other words the spring is compressed as much as it can be and is waiting to bounce back
Evolution999,False,2019-05-31 12:01:00,1.509,CHK DNR CRC on a separate note happy friday have a drink or 10 heheand be happy Money comes and gos
FightTyranny,,2019-05-31 11:57:00,1.495,DNR Holding up well today why
KingHighlights,True,2019-05-31 11:55:00,1.5,DNR Warren Buffet and now Carl Icahn are both bullish on oil stay strong longs patience will be rewarded
Evolution999,False,2019-05-31 11:53:00,1.505,CHK trash will be trading below DNR next week thank your pig management
arcadiain,,2019-05-31 11:29:00,1.501,DNR Manufacturers warn on devastating consequences of Mexico tariffs financeyahoocomnewsmanu US manufacturers warned on Friday that President Donald Trumps threat to impose new tariffs on Mexico could have a devastating impact on the economy and may jeopardize the administrations efforts to win passage of a new North American trade accord
SKIER8731,,2019-05-31 11:17:00,1.495,DNR Algos holding it up so bigger fish can dump retail I aint takin the bait
Pooniggles,,2019-05-31 11:11:00,1.495,DNR NOGtwittercomjkempenergysta
CanAm2,,2019-05-31 11:10:00,1.495,DNR Interesting WTI down 28 and market down 300 points and this is flat on the day
RiskNoReward,,2019-05-31 11:02:00,1.503,DNR needs 250 baby
Idiotincharge,True,2019-05-31 10:34:00,1.498,CHK DNR flirting with green
id_id,True,2019-05-31 10:33:00,1.49,DNR 150
OmegaStock,True,2019-05-31 10:28:00,1.487,DNR I thought we would be all the way down to 1 This is just a show from Jackie Chan and the Trumpet They probably already have a deal but thats this is just the way the elite people control the markets Be patient and you will be rewarded
JRMF,,2019-05-31 10:27:00,1.479,DNR NOG No way these go green today is there Markets way down oil way down I see no catalyst for green on a Friday especially Anyone
id_id,True,2019-05-31 10:26:00,1.48,DNR my favorite cockroach going green is just a 4 minutes
strader4,True,2019-05-31 10:20:00,1.465,DNR Finally a solid Green oil Candle back up over 55 again after a seemingly endless Red candle this morning Need catalysts now to start the climb back into the 60s Hello OPEC Wake up
CanAm2,,2019-05-31 10:12:00,1.45,DNR We havent slapped tarrifs on Europe in a a while lets do that before the weekend then we can go after Australia South Africa Brazil Argentina Chile and etc
nastynate1,True,2019-05-31 10:02:00,1.47,DNR bottom of range
TrimT,,2019-05-31 09:58:00,1.445,DNR Back to 1 it seems
dragonindexinvestor,,2019-05-31 09:49:00,1.478,DNR well we are 1 penny to netural
Pooniggles,,2019-05-31 09:48:00,1.482,DNR NOG recoving right now strange oil down 3 Oversold RSI is around 30
SKIER8731,,2019-05-31 09:41:00,1.435,DNR Futures traders are mumbling 50 oil in 2 weeks or less makes DNR 110
SKIER8731,,2019-05-31 09:33:00,1.445,DNR Trump got 55 oil but it cost 401ks and farmers about a trillion
id_id,True,2019-05-31 09:32:00,1.435,DNR Official info for all bag holders bottom is found
