cctranscripts,,2019-05-31 14:45:00,17.665,Travelzoo Inc director just declared 0 ownership of the company conferencecalltranscriptso TZOO
fla,,2019-05-31 14:44:00,17.6,TZOO filed SEC form 3 Director Ciocca Christina Sindoni secgovArchivesedgardata
livetraderalerts,,2019-05-31 10:25:00,17.962,TZOO 183m ago Travelzoo Study Confirms Holiday Travel Boosts Mental Health prnewswirecomnewsrelease
fla,,2019-05-31 10:14:00,17.95,TZOO Press Release published article on May 31 100700 Travelzoo Study Confirms Holiday Travel Boosts Mental Health prnewswirecom443newsrel
fla,,2019-05-31 10:13:00,18.001,TZOO Press Release published article on May 31 100700 Travelzoo Study Confirms Holiday Travel Boosts Mental Health prnmediaprnewswirecom443
