ChartMill,,2019-05-28 14:34:00,70.392,Bull flags detected by our stock screener in HSIC GPRO and MTCH chartmillcomstockscreener
EstimizeAlerts,,2019-05-28 14:25:00,70.39,MTCH reported 8613K Total Paid Memberships last quarter Next report is on 0806 AMC Jury is still out on expectations Whats yoursestimizecomintromtchcha
cybercash28,,2019-05-28 12:49:00,70.71,MTCH Wkly PF has 81 PT intact
cybercash28,,2019-05-28 11:44:00,70.1,MTCH BTD Will go back to ATH
EstimizeAlerts,,2019-05-28 11:00:00,69.91,Estimize revenue expectations are 054 lower than that of Wall Street for MTCH Q2 Reporting 0806 AMCestimizecomintromtchcha
ecommerceshares,True,2019-05-28 10:04:00,70.604,MOMO HUGE beat Outlook also much better 2832 revenue growth guidance vs 22 consensus next quarter Valuation is a steal at 6x forward EBITDA vs MTCH at 26x despite higher growth china stocks dating
stocktowatch7,,2019-05-28 09:46:00,70.881,MTCH here goes on stocksequitycomactivesto
cybercash28,,2019-05-28 09:45:00,70.675,MTCH HH downtrend reversal
cybercash28,,2019-05-28 09:41:00,70.725,MTCH Higher than body of Frids candle is Bullish great FA ER beat great entry here to ATH with patience
