ClayBro,,2019-05-28 15:15:00,0.865,MICT Risky buy
winthorpebuys,True,2019-05-28 13:29:00,0.86,MICT Unfortunate average of 107 lol but I made this excel file to solve for a breakeven point depending on of shares tendered If you plan on tendering I can go as low as 69
Yesterday,True,2019-05-28 13:23:00,0.86,MICT average 089 hell of a deal thank you
winthorpebuys,True,2019-05-28 12:26:00,0.9,MICT buy now at this price and youre guaranteed 34 total profile gains over night if there are 5000000 shares tendered and the deal is completed
winthorpebuys,,2019-05-28 11:47:00,0.8934,MICT Shares paid on a Pro rata basis
winthorpebuys,,2019-05-28 10:12:00,0.88,MICT can we complete the deal already
