BloodOnTheStreets,False,2019-05-28 14:54:00,144.777,RACE wait for that double top and epic fall
optik,True,2019-05-28 11:16:00,144.287,RACE as soon as the project is completed with all the new models out it goes to 300 in the time it takes
optik,True,2019-05-28 11:12:00,144.303,RACE they continue to buy shares now its understandable to understand what fcau wanted to get to and keep ferrari all to himself and she always goes up
