Conallstapleton,True,2019-02-13 15:20:00,12.051,ZAGG nice move if a close above 12
EstimizeAlerts,,2019-02-13 10:42:00,11.9,ZAGG estimates distribution heres what 3 Estimize analysts are expecting ZAGG to report for Q1 Reporting 0507 AMCestimizecomintrozaggcha
EstimizeAlerts,,2019-02-13 10:03:00,11.935,ZAGG analysts on Estimize are expecting 786 YoY revenue growth for Q4 down from 498 in Q3 Reporting 0305 AMCestimizecomintrozaggcha
