chasetor,True,2019-02-13 15:12:00,30.55,AZUL
InsiderForms,,2019-02-13 11:44:00,30.29,Itau Unibanco Holding SAhas filed Form 13F for Q4 2018Opened NEW positions in ATNI GOOG AEE AAT APH ARMK AVA EQH BBT AZUL
ChartMill,,2019-02-13 10:46:00,30.6,Breakout pattern shown in AYX HIIQ and AZUL chartmillcomstockscreener
InsiderForms,,2019-02-13 10:41:00,30.61,WILLIAM BLAIR INVESTMENT MANAGEMENT LLChas filed Form 13F for Q4 2018Opened NEW positions in ABT ALK AMED HOME AZUL BCO CPK
InsiderForms,,2019-02-13 10:41:00,30.61,Bienville Capital Management LLChas filed Form 13F for Q4 2018Opened NEW positions in ABT PPLT ALL AMZN AEP AMGN APC BBT AZUL
