NormTheGreat,True,2019-02-13 14:51:00,53.64,AAXN its going to run into the close Too much good news
Perezn1,True,2019-02-13 13:15:00,53.337,AAXN Baker City Council introduces ordinance that would allow city to buy new AXON stun gunstheadvocatecombatonrouge
Perezn1,True,2019-02-13 13:13:00,53.335,AAXN Randolph getting some new toysBody Cameras and Tasers in Budget Proposal for Randolph Police Departmenttapintonettownsrandolph
Perezn1,True,2019-02-13 13:08:00,53.365,AAXN GOOD READAXON Body cameras are worth the investmentglencoenewscomcontentwis
me2dumb4college,True,2019-02-13 10:21:00,53.51,AAXN I really like this company long term Rick Smith def sees the potential in the data and is moving the company in the right direction
KingTEA,True,2019-02-13 10:10:00,53.593,AAXN shareholders approved the companys eXponential Stock Performance Plan XSPP A76 of voting shares were in favor
Perezn1,True,2019-02-13 09:58:00,53.382,AAXN getting ready for their new camsYes its AxonVictoria police brief stakeholders on new AXON body camerassheppnewscomaunews2019
Perezn1,True,2019-02-13 09:51:00,53.424,AAXN The Woodstock Police Department install cruiser AXON cameraslocaldvmcomnewsvirginia
