cctranscripts,,2019-02-13 12:12:00,305.417,Statement of acquisition of beneficial ownership by individuals conferencecalltranscriptso TREE
EstimizeAlerts,,2019-02-13 10:30:00,303.245,TREE analysts on Estimize are expecting 4442 YoY EPS growth for Q1 in Q4 Reporting 0425 BMOestimizecomintrotreecha
EstimizeAlerts,,2019-02-13 09:42:00,305.032,Estimize EPS expectations are 303 higher than that of Wall Street for TREE Q4 Reporting 0221 BMOestimizecomintrotreecha
