DividendBot,,2019-02-13 14:24:00,3.16,We have detected 2 negative indicators as of 0213 for DSX More info at dividendbotcomsDSX
EstimizeAlerts,,2019-02-13 11:17:00,3.15,Wall St is expecting 5730 revenue for DSX Q1 Reporting 0509 BMOestimizecomintrodsxchar
EstimizeAlerts,,2019-02-13 09:39:00,3.2,Wall St is expecting 2526 YoY revenue growth for DSX in Q4 down from 4004 in Q3 Reporting 0226 BMOestimizecomintrodsxchar
