crecks,,2019-02-13 14:49:00,10.37,NMRK great pick up at 999
InsiderForms,,2019-02-13 12:10:00,10.11,Kendall Capital Managementhas filed Form 13F for Q4 2018Opened NEW positions in ALSN GOOGL CHL FLT IWM KHC NMRK STX
InsiderForms,,2019-02-13 10:41:00,10.256,HGI Capital Management LLChas filed Form 13F for Q4 2018Opened NEW positions in ESRT EXR LPT MAR NMRK SITC
